Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,EMI_Income_Ratio,auto loan,credit-builder loan,home equity loan,student loan,payday loan,personal loan,mortgage loan,debt consolidation loan,not specified,No Data,Credit_Score
3,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,-1.0,5.42,2.0,1,605.03,33.22495078663659,321.0,1,18.816214573128885,58.51597569589465,0,466.46647639764313,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,2
4,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,3.0,5.42,2.0,1,605.03,39.18265565546884,322.0,1,18.816214573128885,99.30622796053305,4,465.6762241330048,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,0
5,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,1.0,6.42,2.0,1,605.03,34.97789474709241,323.0,1,18.816214573128885,130.11542024292334,5,444.8670318506144,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,0
6,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,0.0,5.42,2.0,1,605.03,33.38101020065065,324.0,1,18.816214573128885,43.477190144355745,0,481.505261949182,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,0
7,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,1,605.03,31.131701611553307,325.0,0,18.816214573128885,70.10177420755677,1,464.8806778859809,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,0
8,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,1,605.03,32.933856293622235,326.0,1,18.816214573128885,218.90434353388733,5,356.07810855965045,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,0
1,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,5.0,8.0,7.1,3.0,1,1303.01,28.616734823006844,213.0,1,246.9923194537421,168.413702679309,2,1043.3159778669492,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,0
2,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,13.0,6.0,7.1,3.0,1,1303.01,41.70257342393906,214.0,1,246.9923194537421,232.86038375993544,2,998.8692967863226,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,0
3,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,7.0,11.1,3.0,1,1303.01,26.519815391546494,215.0,1,246.9923194537421,10000.0,2,715.741367403555,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,0
4,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,5.0,9.1,3.0,1,1303.01,39.50164810812735,216.0,1,246.9923194537421,825.2162699393922,4,426.5134106068658,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,0
5,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,10.0,5.0,7.1,3.0,1,1303.01,31.37614957421204,217.0,1,246.9923194537421,430.9475278803298,3,810.7821526659284,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,0
6,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1,1303.01,39.78399345802119,218.0,1,246.9923194537421,257.80809942568976,1,963.9215811205684,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,0
7,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1,1303.01,38.068623627698585,219.0,1,246.9923194537421,263.17416316163934,2,968.5555173846187,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,2
8,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1,1303.01,38.37475294778511,220.0,1,246.9923194537421,10000.0,2,895.494583180492,0.020266502077893246,1,0,0,0,0,0,0,0,1,0,2
1,54.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,0.0,6.0,1.99,4.0,1,632.46,26.54422872407309,207.0,1,16.415451659824875,81.22885871073616,3,433.6047729627723,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
2,54.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,3.0,1.99,4.0,1,632.46,35.279981779008544,208.0,1,16.415451659824875,124.88181990234848,5,409.95181177115995,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
3,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,3.0,9.0,1.99,4.0,1,632.46,32.30116343180253,209.0,0,16.415451659824875,83.40650880252501,1,411.42712287098345,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
4,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,7.0,6.0,1.99,4.0,1,632.46,38.132348192570056,210.0,1,16.415451659824875,272.3340373956682,5,262.4995942778403,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
5,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,6.0,1.99,4.0,1,632.46,41.15431654696947,211.0,1,16.415451659824875,10000.0,3,359.37491550776383,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
6,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,6.0,1.99,4.0,1,632.46,27.4454217928553,212.0,1,16.415451659824875,84.95284817115969,2,419.8807835023488,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
7,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,6.0,1.99,4.0,1,632.46,26.05639527857161,213.0,1,16.415451659824875,71.28367488286933,3,443.5499567906391,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
8,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,4.0,9.0,1.99,4.0,1,632.46,27.332514927554215,214.0,1,16.415451659824875,125.61725053231268,2,379.21638114119577,0.006283448519848028,0,0,0,0,0,0,0,0,1,0,2
1,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5.0,15.0,2.58,4.0,2,943.86,39.79776423199917,368.0,2,0.0,276.72539431736266,1,288.60552234930395,0.0,0,0,0,0,0,0,0,0,0,1,2
2,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,9.0,15.0,2.58,4.0,2,943.86,27.02036025389693,369.0,0,0.0,74.44364104999623,1,460.88727561667037,0.0,0,0,0,0,0,0,0,0,0,1,2
3,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5.0,12.0,2.58,4.0,2,943.86,23.462303036448013,370.0,2,0.0,173.13865100158367,4,392.1922656650829,0.0,0,0,0,0,0,0,0,0,0,1,2
4,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,1.0,15.0,2.58,4.0,2,943.86,28.924953778098622,371.0,2,0.0,96.78548508587444,1,438.5454315807922,0.0,0,0,0,0,0,0,0,0,0,1,2
5,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,9.0,17.0,2.58,4.0,2,943.86,41.77618715055719,372.0,2,0.0,62.72327834435009,2,482.6076383223166,0.0,0,0,0,0,0,0,0,0,0,1,2
6,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5.0,15.0,2.58,4.0,2,943.86,29.217556326688413,373.0,2,0.0,37.64363788963997,1,497.6872787770267,0.0,0,0,0,0,0,0,0,0,0,1,2
7,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,10.0,15.0,2.58,4.0,2,943.86,26.263822692130155,374.0,2,0.0,181.0119827315892,5,394.31893393507744,0.0,0,0,0,0,0,0,0,0,0,1,2
8,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,1.0,15.0,2.58,4.0,2,943.86,25.86292247432155,375.0,2,0.0,181.33090096186916,2,364.00001570479753,0.0,0,0,0,0,0,0,0,0,0,1,2
1,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,12.0,10.0,10.14,2.0,1,548.2,39.96268501363903,384.0,1,0.0,98.67440994166124,0,740.1960900583389,0.0,0,0,0,0,0,0,0,0,0,1,0
2,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,7.0,10.14,2.0,1,548.2,42.76986440325711,384.0,0,0.0,172.93921446875606,4,705.931285531244,0.0,0,0,0,0,0,0,0,0,0,1,0
3,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,7.0,10.14,2.0,1,548.2,40.7121865299296,385.0,1,0.0,150.05973429800815,1,698.8107657019921,0.0,0,0,0,0,0,0,0,0,0,1,0
4,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,7.0,10.14,2.0,1,548.2,30.201657705809275,386.0,1,0.0,618.2023912505837,5,270.66810874941655,0.0,0,0,0,0,0,0,0,0,0,1,0
5,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,11.0,7.0,10.14,2.0,1,548.2,26.33331042687101,387.0,1,0.0,177.95183568608738,3,690.9186643139128,0.0,0,0,0,0,0,0,0,0,0,1,0
6,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,7.0,7.0,10.14,2.0,1,548.2,35.2754365244368,388.0,1,0.0,235.79032503182026,3,633.0801749681799,0.0,0,0,0,0,0,0,0,0,0,1,0
7,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,4.0,9.14,2.0,1,548.2,36.62479126183764,389.0,1,0.0,348.5093995125948,2,510.36110048740534,0.0,0,0,0,0,0,0,0,0,0,1,2
8,31.0,7,73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.0,7.0,10.14,2.0,1,548.2,31.58098966831768,390.0,1,0.0,42.63559025189578,0,796.2349097481042,0.0,0,0,0,0,0,0,0,0,0,1,0
1,33.0,7,131313.4,11242.783333333333,0.0,1.0,8.0,2.0,0.0,3.0,9.34,2.0,1,352.16,32.200508995391914,367.0,0,137.6446054014217,378.1712535207537,1,858.462474411158,0.012242929648330413,0,1,0,0,0,0,1,0,0,0,0
2,34.0,7,131313.4,11242.783333333333,0.0,1.0,8.0,2.0,-1.0,2.0,15.34,4.0,1,352.16,31.98371000755867,368.0,1,137.6446054014217,698.8732707169384,2,547.7604572149734,0.012242929648330413,0,1,0,0,0,0,1,0,0,0,0
3,34.0,7,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,3.0,9.34,4.0,1,352.16,31.803134495092277,369.0,0,911.2201793459374,188.06432109973838,0,1038.5694068321734,0.08703812172690455,0,1,0,0,0,0,1,0,0,0,0
4,34.0,7,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,2.0,8.34,4.0,1,352.16,42.64578489930634,370.0,1,911.2201793459374,337.43495631738324,1,899.1987716145285,0.08703812172690455,0,1,0,0,0,0,1,0,0,0,0
5,34.0,7,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,4.0,9.34,4.0,1,352.16,40.902517150451615,371.0,1,911.2201793459374,263.3789089320552,0,963.2548189998564,0.08703812172690455,0,1,0,0,0,0,1,0,0,0,0
6,34.0,7,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,3.0,11.34,4.0,1,352.16,41.98016961054943,372.0,1,911.2201793459374,86.56638801207531,0,1140.0673399198365,0.08703812172690455,0,1,0,0,0,0,1,0,0,0,2
7,34.0,7,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,2.0,9.34,4.0,1,352.16,26.94756515223988,373.0,1,911.2201793459374,930.3918977796665,0,326.24183015224526,0.08703812172690455,0,1,0,0,0,0,1,0,0,0,0
8,34.0,7,131313.4,10469.207759388815,0.0,1.0,8.0,2.0,0.0,2.0,9.34,4.0,1,352.16,29.18791265416669,374.0,1,911.2201793459374,870.52238171816,4,396.1113462137519,0.08703812172690455,0,1,0,0,0,0,1,0,0,0,0
1,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,11.0,17.13,5.0,2,1704.18,24.44806274625548,176.0,0,70.47833267207261,162.4410091967751,3,298.19215813115227,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,1
2,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,14.0,17.13,5.0,2,1704.18,35.171160021263034,176.0,2,70.47833267207261,38.4369827577036,0,392.19618457022375,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,1
3,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,31.0,14.0,17.13,5.0,2,1704.18,35.11155247196594,177.0,2,70.47833267207261,199.7207654954979,3,260.9124018324295,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,1
4,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,34.0,14.0,21.13,5.0,2,1704.18,29.76215930632113,178.0,2,70.47833267207261,220.55219192916718,5,260.0809753987602,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,1
5,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,27.0,14.0,17.13,5.0,2,1704.18,30.206214222610893,179.0,2,70.47833267207261,29.32636371091455,0,397.2283547370202,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,2
6,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,14.0,18.13,5.0,2,1704.18,31.17087232096111,180.0,2,70.47833267207261,29.32636371091455,1,410.6743660782873,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,2
7,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,11.0,17.13,5.0,2,1704.18,38.438505084064886,181.0,0,70.47833267207261,55.45978063925893,2,395.17338668866836,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,2
8,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,14.0,17.13,9.0,2,1704.18,33.82348834412097,182.0,2,70.47833267207261,29.32636371091455,1,411.3068036170128,0.026991661674063614,1,0,0,1,0,0,0,0,1,0,1
1,23.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,13.0,11.0,8.24,3.0,1,1377.74,33.66455429077268,256.0,1,226.8927919215432,215.19351594560425,2,802.3004421328528,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,0
2,23.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,14.0,8.0,8.24,3.0,1,1377.74,27.62632548676964,257.0,0,226.8927919215432,212.23560220847847,0,785.2583558699787,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,0
3,23.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,11.0,8.24,3.0,1,1377.74,35.14156730186042,258.0,0,226.8927919215432,470.3857956796373,2,547.1081623988198,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,0
4,23.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,14.0,8.24,8.0,1,1377.74,30.4590318418306,259.0,1,226.8927919215432,225.08204945419,2,772.411908624267,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,0
5,23.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,11.0,11.24,8.0,1,1377.74,29.819186633421047,260.0,1,226.8927919215432,649.8093641841638,2,367.6845938942932,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,2
6,24.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,13.0,14.0,8.24,8.0,1,1377.74,26.114213868949623,261.0,0,226.8927919215432,546.3805705230692,2,491.11338755538793,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,0
7,24.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,11.0,8.24,8.0,1,1377.74,31.76751564697107,262.0,1,226.8927919215432,215.4682977385688,1,792.0256603398883,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,0
8,24.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,11.0,8.24,8.0,1,1377.74,27.813353640375272,263.0,1,226.8927919215432,254.57176724837916,0,742.9221908300779,0.0230491513545406,1,0,0,0,0,1,0,1,0,0,2
1,44.0,6,31370.8,2825.233333333333,0.0,5.0,12.0,2.0,4.0,0.0,5.76,2.0,1,421.43,29.51935255713933,318.0,0,46.61612907334207,154.352781097101,2,341.55442316289026,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
2,44.0,6,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,2.0,0.0,5.76,2.0,1,421.43,28.22048095698559,318.0,1,46.61612907334207,298.7444693112266,5,227.1627349487646,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
3,44.0,6,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1.0,0.0,1.7599999999999998,5.0,1,421.43,31.04641790511995,319.0,1,46.61612907334207,140.8206959818371,4,375.0865082781542,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
4,44.0,6,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1.0,0.0,5.76,5.0,1,421.43,30.1680304036694,320.0,1,46.61612907334207,233.6055264233428,5,292.3016778366485,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
5,44.0,6,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1.0,0.0,5.76,5.0,1,421.43,25.18923173183331,321.0,1,46.61612907334207,184.70057162057685,5,341.20663263941435,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
6,44.0,6,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1.0,0.0,5.76,5.0,1,421.43,25.502468550245663,322.0,1,46.61612907334207,137.71742489512621,4,378.18977936486505,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
7,45.0,6,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,-1.0,2.0,5.76,5.0,1,421.43,22.762202172732568,323.0,1,46.61612907334207,188.3949004901688,5,337.51230376982244,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
8,45.0,6,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,1.0,2.0,5.76,5.0,1,421.43,37.56505276771999,324.0,1,46.61612907334207,252.6448271968889,5,273.2623770631024,0.016499921802332104,0,0,0,0,1,0,0,0,1,0,0
1,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,4.0,2,1328.93,37.08907564543987,230.0,0,65.00817428651536,117.30669710658556,1,362.54571194023237,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
2,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,4.0,2,1328.93,30.908080633467584,231.0,2,65.00817428651536,70.13107792087979,0,399.7213311259382,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
3,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,2,1328.93,38.03072168039317,232.0,2,65.00817428651536,270.18258222151513,3,229.6698268253028,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
4,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,17.0,22.0,11.0,8.0,2,1328.93,23.40441277698757,233.0,2,65.00817428651536,25.192561910314712,0,444.65984713650323,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
5,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,8.0,8.0,2,1328.93,29.073758182245705,234.0,2,65.00817428651536,243.32968479530567,5,276.5227242515123,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
6,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,2,1328.93,32.78263672653516,235.0,2,65.00817428651536,72.86008181289458,1,406.9923272339233,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
7,40.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,2,1328.93,35.58400504980836,236.0,2,65.00817428651536,35.427169541683696,5,444.4252395051343,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
8,41.0,13,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.0,17.0,11.0,8.0,2,1328.93,31.13948358493632,237.0,2,65.00817428651536,25.969611914778515,0,443.88279713203934,0.02204708867886389,1,1,0,0,0,1,0,0,0,0,2
1,32.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,-1.0,0.0,3.51,3.0,1,950.36,28.210617211444603,305.0,1,135.17337097171767,98.93176402067013,0,732.563531674279,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,2
2,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,2.0,3.51,3.0,1,950.36,41.036168282350594,306.0,0,135.17337097171767,157.174788304235,0,674.3205073907143,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,0
3,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,0.0,3.51,3.0,1,950.36,34.67019437922772,307.0,1,135.17337097171767,298.1889114624804,1,543.3063842324688,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,2
4,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,2.0,3.51,3.0,1,950.36,31.82853557484664,308.0,1,135.17337097171767,77.84134310772485,5,86.63611982901625,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,2
5,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,2.0,3.51,3.0,1,950.36,34.702836927947075,309.0,1,135.17337097171767,279.61862207772435,1,561.8766736172248,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,0
6,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,0.0,3.51,3.0,1,950.36,38.32363895436978,310.0,1,135.17337097171767,686.1262165951837,5,195.36907909976551,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,0
7,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,2.0,3.51,3.0,1,950.36,25.97917280396149,311.0,1,135.17337097171767,164.0748218779106,0,667.4204738170387,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,0
8,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,-1.0,2.0,3.51,3.0,1,950.36,30.87079911079545,312.0,1,135.17337097171767,98.44195128223792,0,733.0533444127112,0.01860178884439552,0,0,0,0,1,0,0,0,0,0,0
1,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,3.0,2,179.22,25.64924606724341,322.0,2,124.39208242092045,243.73543739209438,3,378.54048018698535,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
2,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,10.0,4.54,3.0,2,179.22,29.40877527612245,323.0,2,124.39208242092045,142.75186411942676,1,459.52405345965286,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
3,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,15.0,11.0,5.54,3.0,2,179.22,31.25892846912917,324.0,0,124.39208242092045,33.349568589344514,0,558.9263489897351,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
4,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,7.0,0.54,3.0,2,179.22,27.19258740532601,325.0,2,124.39208242092045,494.8422277056662,5,147.43368987341347,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
5,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,11.54,3.0,2,179.22,34.59532445612005,326.0,2,124.39208242092045,233.1184454152274,5,409.15747216385233,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
6,35.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,3.0,2,179.22,23.195025404792624,327.0,2,124.39208242092045,635.1465605054178,5,7.129357073661937,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
7,36.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,2,179.22,35.112531991297786,328.0,2,124.39208242092045,158.11240346721374,3,464.1635141118658,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
8,36.0,5,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,2,179.22,32.8788050668308,329.0,2,124.39208242092045,495.1178978821161,5,147.15801969696355,0.02609616807105164,0,0,0,1,0,1,0,0,1,0,2
